Date,Brazil,Russia,India,China,South Africa,USA,GFC,COVID
2004-04-05,0.04954341952152733,0.13436867322673646,0.03559279171596909,0.14860172894326606,0.021450547368554812,0.17266774636733584,0,0
2004-04-06,0.04881367966392522,0.1271438452644812,0.0351762081657319,0.15077471774764983,0.022256721503323196,0.17320962948959312,0,0
2004-04-07,0.04261089087430725,0.13335386510625197,0.03498153546821721,0.15019013652038354,0.020750849062906807,0.16926050377706475,0,0
2004-04-08,0.045391791412736915,0.1392660059474824,0.03560427446767432,0.14934967798825322,0.02114633071392527,0.16760000662108,0,0
2004-04-13,0.04435634972289609,0.13397991588704833,0.03736861261922368,0.13849654368809738,0.02371080009557794,0.16495375262774115,0,0
2004-04-15,0.0356685008776601,0.1204743849303519,0.03575168095468133,0.1313989009085612,0.020796289018914782,0.1656585491645678,0,0
2004-04-16,0.035964341360471774,0.117687449196484,0.03625505274455122,0.13430802903616917,0.019428661868387015,0.1680329904020476,0,0
2004-04-19,0.03456402974182987,0.11529936839554294,0.034591923032450525,0.13077101736816416,0.018439957740840895,0.16741792692244367,0,0
2004-04-20,0.02915014890637635,0.11038688928493895,0.03470594942729109,0.12949753570472544,0.019576726809785838,0.16204483342321158,0,0
2004-04-22,0.02978127526970792,0.09183256170891668,0.037893614708817455,0.12720841796967258,0.017701943540084475,0.16843504677008914,0,0
2004-04-23,0.03419915981302882,0.0915801218779504,0.03793100041204385,0.12282110633473475,0.01715358339300535,0.16894208210313377,0,0
2004-04-28,0.023193893852434783,0.08700591214084125,0.032256651784486376,0.11717212275812111,0.016624477464573684,0.16326886201930746,0,0
2004-04-29,0.01718833205135792,0.06961785658388325,0.031064047851563817,0.11178885792117405,0.014988446506100594,0.16020530575014658,0,0
2004-04-30,0.014644103899177585,0.06710355586745903,0.030707815507963573,0.11496567307540895,0.012278415231473244,0.15817106605485565,0,0
2004-05-05,0.018776009309113856,0.0697642716858437,0.03153831220106458,0.11496567307540895,0.01591688492928023,0.16189019635858032,0,0
2004-05-06,0.0105319211880954,0.06808302241160819,0.033437238884229045,0.11496567307540895,0.012811757088007358,0.15885451832078962,0,0
2004-05-07,0.004910952014673703,0.051967263602720304,0.031094757536356918,0.11496567307540895,0.012703933463581701,0.15345659577174353,0,0
2004-05-11,0.004092460012228072,0.039597711885372144,0.021917101475747228,0.10954697907317301,0.007306975976703933,0.1491934043589357,0,0
2004-05-12,0.0020117152831193585,0.04613085471077971,0.022783648668388015,0.11657573180909186,0.005165521778735499,0.1503124539900283,0,0
2004-05-13,0.0027611778395755793,0.04921566944518774,0.023881720180295232,0.11535539389358651,0.005450676756904138,0.14881312785915218,0,0
2004-05-14,0.004822199869830207,0.04981647624288754,0.01508005747784831,0.10849000897538852,0.00035851355121532813,0.14890591009793103,0,0
2004-05-17,0.0,0.059595995294521587,0.0,0.10401609271418899,0.0011592965047624304,0.14429032041670986,0,0
2004-05-18,0.004279825651342134,0.0613933668910015,0.009930176858409953,0.10706300092903143,0.0,0.14697360018608718,0,0
2004-05-19,0.005581523775713471,0.06917356248138257,0.013377138695885207,0.1076239627127718,0.006597650561732199,0.14563196030139852,0,0
2004-05-20,0.0011636392323925715,0.06703287271478847,0.01140130428036927,0.10580723384823715,0.005798407945676903,0.14562891111984239,0,0
2004-05-21,0.0016073999566100783,0.065089086016348,0.012188006292547918,0.10763183586061376,0.007882099487702993,0.1468964994524541,0,0
2004-05-24,0.0053941581365994085,0.06779524100430662,0.016504986852249284,0.10606114286614071,0.004642192115898086,0.1465345180420073,0,0
2004-05-25,0.007277675877167045,0.061029853534410095,0.015943934263115786,0.09970357598374979,0.005848468914160271,0.15346879249796797,0,0
2004-05-26,0.009338697907421672,0.0665380906460945,0.015402642688544785,0.10096131135150455,0.008711956311407698,0.15313207573470028,0,0
2004-05-27,0.015896495276413625,0.058222722614064915,0.014777767363189018,0.10740548286015716,0.012323470103108247,0.1572837542220275,0,0
2004-05-28,0.0152357848648009,0.04289962487441118,0.00881848626889882,0.10574031209158041,0.010765418730157295,0.15655412863538676,0,0
2004-06-01,0.014042561584127172,0.02991411996950527,0.00881127616899087,0.11183019194734439,0.010789486503466617,0.157172676893912,0,0
2004-06-02,0.015728852336153676,0.03534157633528051,0.011176455979536135,0.10935211866408423,0.010970668700939018,0.15980020020054903,0,0
2004-06-03,0.01260280456777707,0.03655833632053801,0.008353835385941963,0.10471877115908479,0.009254540192892596,0.15687908426979508,0,0
2004-06-04,0.01673470997771337,0.034983111775308384,0.010250091661733088,0.10443533783677389,0.008534047331105354,0.1589224715097543,0,0
2004-06-07,0.022927637417904267,0.039415955207076414,0.011562596885717522,0.0995264301573055,0.011899299666305152,0.1653806380455966,0,0
2004-06-08,0.021320237461294217,0.04436882469063502,0.01221631261070509,0.09493244839151588,0.014165136116736032,0.16718575352681408,0,0
2004-06-09,0.01718833205135792,0.04619648906683094,0.012246221173286206,0.08986607775520805,0.012927667484264965,0.1643944456108774,0,0
2004-06-15,0.01898309764708203,0.02240151059994855,0.008269984594419869,0.08902168264915677,0.006792888338817249,0.1649167268517026,0,0
2004-06-17,0.021823166282074036,0.04488380194580621,0.008938387559960667,0.08542365408537639,0.008360181736718958,0.16478996801844148,0,0
2004-06-18,0.021803443583219922,0.05183094609399852,0.007072039846750658,0.08184137181727996,0.008305114671387281,0.16648400617154346,0,0
2004-06-21,0.021408989606137713,0.060666340177818634,0.0062343330537416725,0.0830558048719039,0.006958859703558196,0.16452643161252045,0,0
